Nom de la référence,Notions
Pyramide du Louvre,"Transparence & Opacité, Masse & Légèreté, Lumière & Ombre, Équilibre & Symétrie, Minimalisme & Vide, Exagération & Contraste, Symbole & Archétype, Innovation & Optimisation, Ergonomie & Usages, Hiérarchie & Stratification, Ancrage & Élévation, Pérennité"
Quand Jim monte à Paris,"Mobilité & Déploiement, Ergonomie & Usages, Interaction, Éphémère & Apparition, Minimalisme & Vide, Narration & Évocation, Hybridation & Fusion, Rationalisation & Simplification, Articulation & Connexion, Symbole & Archétype"
Radio Tykho,"Minimalisme & Vide, Texture & État de surface, Rationalisation & Simplification, Ergonomie & Usages, Pérennité, Mutation & Évolution, Symbole & Archétype, Couleur & Saturation, Interaction, Mobilité & Déploiement, Innovation & Optimisation, Hybridation & Fusion"
Rag Chair,"Accumulation & Densité, Hiérarchie & Stratification, Réemploi & Réhabilitation, Détournement & Appropriation, Engagement & Sensibilisation, Narration & Évocation, Exagération & Contraste, Texture & État de surface, Fluidité & Rigidité"
Readings,"Lumière & Ombre, Cinétisme & Vibration, Innovation & Optimisation, Interaction, Hybridation & Fusion, Dématérialisation, Éphémère & Apparition, Narration & Évocation, Symbole & Archétype, Conception collaborative, Articulation & Connexion, Mobilité & Déploiement"
Reflet,"Transparence & Opacité, Lumière & Ombre, Éphémère & Apparition, Interaction, Minimalisme & Vide, Déformation & Distorsion, Symbole & Archétype, Exagération & Contraste, Ergonomie & Usages"
Refraction,"Masse & Légèreté, Échelle & Proportion, Lumière & Ombre, Détournement & Appropriation, Réemploi & Réhabilitation, Biomimétisme, Engagement & Sensibilisation, Narration & Évocation, Symbole & Archétype, Ancrage & Élévation, Exagération & Contraste, Interaction"
Reichstag Dome,"Transparence & Opacité, Lumière & Ombre, Masse & Légèreté, Exagération & Contraste, Symbole & Archétype, Réemploi & Réhabilitation, Innovation & Optimisation, Ancrage & Élévation, Engagement & Sensibilisation, Interaction, Narration & Évocation, Pérennité"
Remembering,"Accumulation & Densité, Répétition, Échelle & Proportion, Détournement & Appropriation, Engagement & Sensibilisation, Narration & Évocation, Couleur & Saturation, Symbole & Archétype, Exagération & Contraste, Modularité & Standardisation"
Ribbon,"Fluidité & Rigidité, Minimalisme & Vide, Ergonomie & Usages, Innovation & Optimisation, Texture & État de surface, Ancrage & Élévation, Pérennité, Symbole & Archétype"
Ring Lamp,"Lumière & Ombre, Modularité & Standardisation, Couleur & Saturation, Répétition, Accumulation & Densité, Minimalisme & Vide, Transparence & Opacité, Symbole & Archétype, Narration & Évocation"
Roots of Rebirth,"Biomimétisme, Hybridation & Fusion, Cinétisme & Vibration, Réemploi & Réhabilitation, Engagement & Sensibilisation, Texture & État de surface, Transparence & Opacité, Artisanat & Savoir-faire, Narration & Évocation, Innovation & Optimisation, Motif & Ornementation, Articulation & Connexion"
Row House / Azuma House,"Minimalisme & Vide, Lumière & Ombre, Exagération & Contraste, Texture & État de surface, Transparence & Opacité, Articulation & Connexion, Ancrage & Élévation, Ergonomie & Usages, Répétition, Symbole & Archétype, Narration & Évocation"
Russelsheim,"Déformation & Distorsion, Éphémère & Apparition, Lumière & Ombre, Couleur & Saturation, Exagération & Contraste, Réemploi & Réhabilitation, Hybridation & Fusion, Narration & Évocation, Échelle & Proportion, Dématérialisation"
Réanim,"Réemploi & Réhabilitation, Pérennité, Engagement & Sensibilisation, Hybridation & Fusion, Exagération & Contraste, Narration & Évocation, Articulation & Connexion, Modularité & Standardisation, Symbole & Archétype"
Réserve mondiale semences Svalbard,"Pérennité, Engagement & Sensibilisation, Symbole & Archétype, Ancrage & Élévation, Accumulation & Densité, Minimalisme & Vide, Exagération & Contraste, Rationalisation & Simplification"
S.A.C.R.E.D.,"Engagement & Sensibilisation, Narration & Évocation, Interaction, Transparence & Opacité, Masse & Légèreté, Échelle & Proportion, Exagération & Contraste, Répétition, Symbole & Archétype, Minimalisme & Vide"
SACT - Panneaux marrons,"Rationalisation & Simplification, Symbole & Archétype, Ergonomie & Usages, Narration & Évocation, Minimalisme & Vide, Pérennité, Hiérarchie & Stratification"
Sac Birkin,"Ergonomie & Usages, Artisanat & Savoir-faire, Symbole & Archétype, Pérennité, Texture & État de surface, Rationalisation & Simplification, Narration & Évocation, Interaction, Modularité & Standardisation"
Sac Bolide,"Innovation & Optimisation, Mobilité & Déploiement, Ergonomie & Usages, Artisanat & Savoir-faire, Pérennité, Symbole & Archétype, Hybridation & Fusion, Rationalisation & Simplification, Narration & Évocation"
Sac Cabat,"Artisanat & Savoir-faire, Minimalisme & Vide, Texture & État de surface, Pérennité, Symbole & Archétype, Ergonomie & Usages, Motif & Ornementation, Rationalisation & Simplification"
Sac Kelly,"Artisanat & Savoir-faire, Symbole & Archétype, Pérennité, Fluidité & Rigidité, Ergonomie & Usages, Narration & Évocation, Rationalisation & Simplification, Texture & État de surface"
Sac Knot,"Artisanat & Savoir-faire, Texture & État de surface, Articulation & Connexion, Symbole & Archétype, Pérennité, Motif & Ornementation, Minimalisme & Vide, Rationalisation & Simplification"
Sac Veneta,"Artisanat & Savoir-faire, Fluidité & Rigidité, Minimalisme & Vide, Ergonomie & Usages, Texture & État de surface, Motif & Ornementation, Pérennité, Symbole & Archétype, Rationalisation & Simplification, Mutation & Évolution"
Sage Gateshead,"Fluidité & Rigidité, Transparence & Opacité, Lumière & Ombre, Modularité & Standardisation, Innovation & Optimisation, Interaction, Biomimétisme, Engagement & Sensibilisation, Articulation & Connexion, Ergonomie & Usages, Hybridation & Fusion"
Sailing Yacht A,"Échelle & Proportion , Masse & Légèreté , Minimalisme & Vide , Exagération & Contraste , Innovation & Optimisation , Hybridation & Fusion , Symbole & Archétype , Narration & Évocation , Mobilité & Déploiement , Rationalisation & Simplification"
Sarabande,"Éphémère & Apparition, Artisanat & Savoir-faire, Narration & Évocation, Texture & État de surface, Motif & Ornementation, Déconstruction & Fragmentation, Mutation & Évolution, Transparence & Opacité, Symbole & Archétype, Couleur & Saturation"
Scampston Hall,"Hybridation & Fusion, Réemploi & Réhabilitation, Pérennité, Texture & État de surface, Répétition, Exagération & Contraste, Accumulation & Densité, Mutation & Évolution, Fluidité & Rigidité, Narration & Évocation"
Seijaku,"Cinétisme & Vibration, Hybridation & Fusion, Artisanat & Savoir-faire, Innovation & Optimisation, Motif & Ornementation, Masse & Légèreté, Transparence & Opacité, Dématérialisation, Biomimétisme, Narration & Évocation, Interaction"
Sendai Mediatheque,"Transparence & Opacité, Masse & Légèreté, Innovation & Optimisation, Hybridation & Fusion, Articulation & Connexion, Biomimétisme, Lumière & Ombre, Minimalisme & Vide, Hiérarchie & Stratification, Pérennité, Interaction"
Sensory Seas,"Biomimétisme, Hybridation & Fusion, Innovation & Optimisation, Artisanat & Savoir-faire, Cinétisme & Vibration, Mobilité & Déploiement, Texture & État de surface, Accumulation & Densité, Narration & Évocation, Motif & Ornementation, Fluidité & Rigidité, Échelle & Proportion"
Serifa,"Hybridation & Fusion, Hiérarchie & Stratification, Ergonomie & Usages, Rationalisation & Simplification, Modularité & Standardisation, Mutation & Évolution, Échelle & Proportion, Pérennité"
Serpentine Gallery Pavilion,"Inclusion & Mise en abyme, Lumière & Ombre, Éphémère & Apparition, Minimalisme & Vide, Mutation & Évolution, Hiérarchie & Stratification, Texture & État de surface, Articulation & Connexion, Exagération & Contraste"
Service Plissé,"Motif & Ornementation, Texture & État de surface, Lumière & Ombre, Ergonomie & Usages, Pérennité, Symbole & Archétype, Artisanat & Savoir-faire, Rationalisation & Simplification, Répétition"
Shift Souls,"Hybridation & Fusion , Artisanat & Savoir-faire , Innovation & Optimisation , Transparence & Opacité , Cinétisme & Vibration , Motif & Ornementation , Narration & Évocation , Illusion & Simulation , Mutation & Évolution"
Shonandai Cultural Center,"Hybridation & Fusion, Biomimétisme, Transparence & Opacité, Masse & Légèreté, Inclusion & Mise en abyme, Articulation & Connexion, Lumière & Ombre, Narration & Évocation, Symbole & Archétype, Engagement & Sensibilisation, Interaction"
Siège Tournant LC7,"Ergonomie & Usages, Rationalisation & Simplification, Innovation & Optimisation, Mobilité & Déploiement, Symbole & Archétype, Pérennité, Articulation & Connexion, Artisanat & Savoir-faire, Modularité & Standardisation"
SkySpace,"Lumière & Ombre, Minimalisme & Vide, Éphémère & Apparition, Inclusions & Mise en abyme, Interaction, Transparence & Opacité, Perception & Illusion, Ancrage & Élévation, Pérennité, Narration & Évocation"
Stansted Airport Terminal Building,"Lumière & Ombre, Transparence & Opacité, Innovation & Optimisation, Masse & Légèreté, Articulation & Connexion, Biomimétisme, Rationalisation & Simplification, Modularité & Standardisation, Mobilité & Déploiement, Hiérarchie & Stratification, Pérennité"
State of the world,"Hiérarchie & Stratification, Échelle & Proportion, Narration & Évocation, Accumulation & Densité, Texture & État de surface, Rationalisation & Simplification, Symbole & Archétype, Mutation & Évolution, Engagement & Sensibilisation, Répétition"
Stool 60,"Pérennité, Rationalisation & Simplification, Innovation & Optimisation, Artisanat & Savoir-faire, Modularité & Standardisation, Symbole & Archétype, Ergonomie & Usages, Articulation & Connexion, Texture & État de surface, Mutation & Évolution"
Straight,"Engagement & Sensibilisation, Narration & Évocation, Accumulation & Densité, Texture & État de surface, Symbole & Archétype, Masse & Légèreté, Minimalisme & Vide, Échelle & Proportion, Cinétisme & Vibration, Mutation & Évolution"
Sunflower Seeds,"Accumulation & Densité, Répétition, Artisanat & Savoir-faire, Symbole & Archétype, Engagement & Sensibilisation, Masse & Légèreté, Illusion & Simulation, Texture & État de surface, Interaction, Narration & Évocation, Échelle & Proportion, "
THE FOUNTAIN BOY,"Symbole & Archétype, Narration & Évocation, Couleur & Saturation, Transparence & Opacité, Lumière & Ombre, Motif & Ornementation, Articulation & Connexion, Pérennité, Interaction"
TWA Flight Center,"Fluidité & Rigidité, Masse & Légèreté, Cinétisme & Vibration, Innovation & Optimisation, Biomimétisme, Narration & Évocation, Symbole & Archétype, Réemploi & Réhabilitation, Transparence & Opacité, Ancrage & Élévation, Pérennité"
Table Cinderella,"Hybridation & Fusion, Hiérarchie & Stratification, Mutation & Évolution, Innovation & Optimisation, Symbole & Archétype, Illusion & Simulation, Texture & État de surface, Artisanat & Savoir-faire, Narration & Évocation, Déformation & Distorsion"
Table basse Eileen Gray,"Ergonomie & Usages, Rationalisation & Simplification, Innovation & Optimisation, Mobilité & Déploiement, Symbole & Archétype, Pérennité, Articulation & Connexion, Minimalisme & Vide, Masse & Légèreté"
Tahoma,"Rationalisation & Simplification, Ergonomie & Usages, Innovation & Optimisation, Modularité & Standardisation, Échelle & Proportion, Pérennité, Articulation & Connexion, Hiérarchie & Stratification"
Tailleur Bar,"Symbole & Archétype, Narration & Évocation, Équilibre & Symétrie, Hiérarchie & Stratification, Illusion & Simulation, Artisanat & Savoir-faire, Pérennité, Mutation & Évolution, Texture & État de surface, Échelle & Proportion"
Tan Tan Bo,"Accumulation & Densité, Répétition, Motif & Ornementation, Couleur & Saturation, Mutation & Évolution, Symbole & Archétype, Narration & Évocation, Illusion & Simulation, Échelle & Proportion, Déformation & Distorsion"
Teddy Bear Band,"Symbole & Archétype, Narration & Évocation, Accumulation & Densité, Hybridation & Fusion, Détournement & Réappropriation, Inclusion & Mise en abyme, Artisanat & Savoir-faire, Échelle & Proportion, Engagement & Sensibilisation, Mutation & Évolution"
Terra! - Grass armchair,"Mutation & Évolution, Biomimétisme, Interaction, Mobilité & Déploiement, Engagement & Sensibilisation, Minimalisme & Vide, Texture & État de surface, Hybridation & Fusion, Éphémère & Apparition, Ancrage & Élévation"
The Battery Bosque,"Accumulation & Densité , Articulation & Connexion , Hiérarchie & Stratification , Répétition , Lumière & Ombre , Texture & État de surface , Interaction , Mutation & Évolution , Pérennité , Biomimétisme , Narration & Évocation , Ergonomie & Usages"
The Bow,"Échelle & Proportion, Répétition, Hiérarchie & Stratification, Fluidité & Rigidité, Transparence & Opacité, Lumière & Ombre, Ancrage & Élévation, Interaction, Symbole & Archétype, Innovation & Optimisation, Ergonomie & Usages, Rationalisation & Simplification"
The Future City is Flexible,"Mutation & Évolution, Modularité & Standardisation, Fluidité & Rigidité, Accumulation & Densité, Mobilité & Déploiement, Innovation & Optimisation, Engagement & Sensibilisation, Articulation & Connexion, Hybridation & Fusion, Conception collaborative, Échelle & Proportion, Interaction"
The High Line Logo,"Articulation & Connexion, Équilibre & Symétrie, Échelle & Proportion, Hybridation & Fusion, Minimalisme & Vide, Mutation & Évolution, Pérennité, Narration & Évocation, Symbole & Archétype, Engagement & Sensibilisation, Rationalisation & Simplification, Ergonomie & Usages"
The Man with the Golden Arm,"Articulation & Connexion, Déconstruction & Fragmentation, Hiérarchie & Stratification, Minimalisme & Vide, Masse & Légèreté, Cinétisme & Vibration, Mutation & Évolution, Symbole & Archétype, Narration & Évocation, Exagération & Contraste, Engagement & Sensibilisation, Rationalisation & Simplification"
The Overlook,"Inclusion & Mise en abyme, Hiérarchie & Stratification, Fluidité & Rigidité, Texture & État de surface, Transparence & Opacité, Masse & Légèreté, Éphémère & Apparition, Narration & Évocation, Détournement & Appropriation, Exagération & Contraste, Artisanat & Savoir-faire, Ergonomie & Usages"
The Physical Impossibility of Death in the Mind of Someone Living,"Échelle & Proportion, Inclusion & Mise en abyme, Transparence & Opacité, Minimalisme & Vide, Masse & Légèreté, Pérennité, Ancrage & Élévation, Détournement & Appropriation, Symbole & Archétype, Narration & Évocation, Exagération & Contraste, Innovation & Optimisation"
The Shining,"Inclusion & Mise en abyme, Échelle & Proportion, Couleur & Saturation, Minimalisme & Vide, Texture & État de surface, Cinétisme & Vibration, Exagération & Contraste, Narration & Évocation, Symbole & Archétype, Rationalisation & Simplification, Conception collaborative, Innovation & Optimisation"
The Strongest Thread,"Déconstruction & Fragmentation, Accumulation & Densité, Répétition, Texture & État de surface, Hybridation & Fusion, Fluidité & Rigidité, Pérennité, Détournement & Appropriation, Narration & Évocation, Symbole & Archétype, Artisanat & Savoir-faire, Hiérarchie & Stratification"
The Sun,"Accumulation & Densité, Échelle & Proportion, Couleur & Saturation, Lumière & Ombre, Texture & État de surface, Transparence & Opacité, Cinétisme & Vibration, Éphémère & Apparition, Symbole & Archétype, Narration & Évocation, Artisanat & Savoir-faire, Innovation & Optimisation"
The Tangent Flows,"Mutation & Évolution, Texture & État de surface, Déconstruction & Fragmentation, Narration & Évocation, Innovation & Optimisation, Fluidité & Rigidité, Ancrage & Élévation, Éphémère & Apparition, Hiérarchie & Stratification, Symbole & Archétype, Artisanat & Savoir-faire, Exagération & Contraste"
The Weather Project,"Échelle & Proportion, Équilibre & Symétrie, Inclusion & Mise en abyme, Couleur & Saturation, Dématérialisation, Lumière & Ombre, Minimalisme & Vide, Éphémère & Apparition, Interaction, Illusion & Simulation, Symbole & Archétype, Biomimétisme"
The Whale - David S. Ingalls Rink,"Équilibre & Symétrie, Articulation & Connexion, Répétition, Échelle & Proportion, Fluidité & Rigidité, Masse & Légèreté, Ancrage & Élévation, Pérennité, Narration & Évocation, Symbole & Archétype, Biomimétisme, Innovation & Optimisation"
Thin Black Lines,"Articulation & Connexion, Échelle & Proportion, Minimalisme & Vide, Masse & Légèreté, Lumière & Ombre, Transparence & Opacité, Dématérialisation, Éphémère & Apparition, Illusion & Simulation, Narration & Évocation, Symbole & Archétype, Rationalisation & Simplification"
Things I Have Learned in My Life So Far,"Accumulation & Densité, Hiérarchie & Stratification, Texture & État de surface, Masse & Légèreté, Interaction, Mutation & Évolution, Éphémère & Apparition, Narration & Évocation, Engagement & Sensibilisation, Symbole & Archétype, Exagération & Contraste, Modularité & Standardisation"
Théière collection Nest,"Articulation & Connexion, Motif & Ornementation, Équilibre & Symétrie, Couleur & Saturation, Fluidité & Rigidité, Texture & État de surface, Interaction, Narration & Évocation, Symbole & Archétype, Biomimétisme, Ergonomie & Usages, Rationalisation & Simplification"
Tokyo International Forum,"Articulation & Connexion, Échelle & Proportion, Répétition, Transparence & Opacité, Lumière & Ombre, Masse & Légèreté, Pérennité, Interaction, Symbole & Archétype, Narration & Évocation, Ergonomie & Usages, Innovation & Optimisation"
Tongue,"Équilibre & Symétrie, Échelle & Proportion, Fluidité & Rigidité, Minimalisme & Vide, Masse & Légèreté, Texture & État de surface, Ancrage & Élévation, Mutation & Évolution, Narration & Évocation, Symbole & Archétype, Ergonomie & Usages, Rationalisation & Simplification"
Tour Eiffel,"Articulation & Connexion, Échelle & Proportion, Répétition, Masse & Légèreté, Transparence & Opacité, Ancrage & Élévation, Pérennité, Symbole & Archétype, Narration & Évocation, Innovation & Optimisation, Rationalisation & Simplification, Conception collaborative"
Tranzat chair,"Articulation & Connexion, Hiérarchie & Stratification, Fluidité & Rigidité, Masse & Légèreté, Texture & État de surface, Hybridation & Fusion, Pérennité, Détournement & Appropriation, Narration & Évocation, Symbole & Archétype, Ergonomie & Usages, Rationalisation & Simplification"
Trentham Gardens,"Hiérarchie & Stratification, Articulation & Connexion, Répétition, Fluidité & Rigidité, Texture & État de surface, Lumière & Ombre, Mutation & Évolution, Pérennité, Narration & Évocation, Biomimétisme, Ergonomie & Usages, Innovation & Optimisation"
Tulip,"Biomimétisme, Fluidité & Rigidité, Équilibre & Symétrie, Masse & Légèreté, Articulation & Connexion, Ancrage & Élévation, Narration & Évocation, Ergonomie & Usages, Minimalisme & Vide, Symbole & Archétype, Rationalisation & Simplification, Texture & État de surface"
Tulip Chair,"Articulation & Connexion, Équilibre & Symétrie, Fluidité & Rigidité, Masse & Légèreté, Minimalisme & Vide, Ancrage & Élévation, Pérennité, Narration & Évocation, Symbole & Archétype, Biomimétisme, Ergonomie & Usages, Rationalisation & Simplification"
United Airlines,"Articulation & Connexion, Équilibre & Symétrie, Répétition, Couleur & Saturation, Minimalisme & Vide, Cinétisme & Vibration, Pérennité, Symbole & Archétype, Narration & Évocation, Rationalisation & Simplification, Innovation & Optimisation, Ergonomie & Usages"
Univers,"Hiérarchie & Stratification, Échelle & Proportion, Articulation & Connexion, Masse & Légèreté, Minimalisme & Vide, Mutation & Évolution, Pérennité, Symbole & Archétype, Modularité & Standardisation, Rationalisation & Simplification, Ergonomie & Usages, Innovation & Optimisation"
VP Globe,"Inclusion & Mise en abyme, Articulation & Connexion, Hiérarchie & Stratification, Transparence & Opacité, Lumière & Ombre, Masse & Légèreté, Couleur & Saturation, Cinétisme & Vibration, Illusion & Simulation, Symbole & Archétype, Narration & Évocation, Innovation & Optimisation"
Verdana,"Échelle & Proportion, Hiérarchie & Stratification, Répétition, Transparence & Opacité, Masse & Légèreté, Mutation & Évolution, Pérennité, Symbole & Archétype, Artisanat & Savoir-faire, Ergonomie & Usages, Innovation & Optimisation, Rationalisation & Simplification"
Vertigo,"Articulation & Connexion, Inclusion & Mise en abyme, Répétition, Couleur & Saturation, Minimalisme & Vide, Cinétisme & Vibration, Mutation & Évolution, Narration & Évocation, Symbole & Archétype, Illusion & Simulation, Rationalisation & Simplification, Innovation & Optimisation"
Vieux Port Pavilion,"Articulation & Connexion, Échelle & Proportion, Lumière & Ombre, Masse & Légèreté, Texture & État de surface, Ancrage & Élévation, Interaction, Illusion & Simulation, Engagement & Sensibilisation, Ergonomie & Usages, Innovation & Optimisation, Rationalisation & Simplification"
Villa Savoye,"Hiérarchie & Stratification, Masse & Légèreté, Minimalisme & Vide, Lumière & Ombre, Ancrage & Élévation, Narration & Évocation, Symbole & Archétype, Innovation & Optimisation, Rationalisation & Simplification, Ergonomie & Usages, Transparence & Opacité"
Vitra Fire Station,"Articulation & Connexion , Déconstruction & Fragmentation , Hiérarchie & Stratification , Fluidité & Rigidité , Masse & Légèreté , Minimalisme & Vide , Cinétisme & Vibration , Mutation & Évolution , Exagération & Contraste , Narration & Évocation , Symbole & Archétype , Réemploi & Réhabilitation"
VitraHaus - Vitra House,"Accumulation & Densité, Hiérarchie & Stratification, Articulation & Connexion, Échelle & Proportion, Répétition, Masse & Légèreté, Transparence & Opacité, Ancrage & Élévation, Interaction, Narration & Évocation, Symbole & Archétype, Innovation & Optimisation"
Vlinderhof,"Accumulation & Densité, Hiérarchie & Stratification, Articulation & Connexion, Texture & État de surface, Masse & Légèreté, Fluidité & Rigidité, Mutation & Évolution, Pérennité, Interaction, Engagement & Sensibilisation, Biomimétisme, Ergonomie & Usages"
Voltage,"Hybridation & Fusion , Cinétisme & Vibration , Innovation & Optimisation , Texture & État de surface , Conception collaborative , Biomimétisme , Lumière & Ombre , Hiérarchie & Stratification , Illusion & Simulation , Répétition , Dématérialisation , Accumulation & Densité"
Voltri-Bolton,"Articulation & Connexion, Déconstruction & Fragmentation, Équilibre & Symétrie, Masse & Légèreté, Texture & État de surface, Lumière & Ombre, Ancrage & Élévation, Mutation & Évolution, Détournement & Appropriation, Narration & Évocation, Réemploi & Réhabilitation, Artisanat & Savoir-faire"
Voss,"Inclusion & Mise en abyme, Texture & État de surface, Hybridation & Fusion, Transparence & Opacité, Éphémère & Apparition, Interaction, Illusion & Simulation, Narration & Évocation, Exagération & Contraste, Symbole & Archétype, Artisanat & Savoir-faire, Détournement & Appropriation"
WASSILY / B3,"Articulation & Connexion, Déconstruction & Fragmentation, Dématérialisation, Masse & Légèreté, Minimalisme & Vide, Pérennité, Détournement & Appropriation, Symbole & Archétype, Innovation & Optimisation, Modularité & Standardisation, Rationalisation & Simplification, Ergonomie & Usages"
Walt Disney Concert Hall,"Déconstruction & Fragmentation, Accumulation & Densité, Fluidité & Rigidité, Texture & État de surface, Lumière & Ombre, Cinétisme & Vibration, Ancrage & Élévation, Narration & Évocation, Exagération & Contraste, Innovation & Optimisation, Conception collaborative, Ergonomie & Usages"
Wearable Art - Viktor & Rolf’s Fall 2015,"Articulation & Connexion, Inclusion & Mise en abyme, Hybridation & Fusion, Fluidité & Rigidité, Mobilité & Déploiement, Mutation & Évolution, Interaction, Détournement & Appropriation, Exagération & Contraste, Narration & Évocation, Artisanat & Savoir-faire, Ergonomie & Usages"
Weisman Art Museum,"Déconstruction & Fragmentation, Échelle & Proportion, Hybridation & Fusion, Fluidité & Rigidité, Lumière & Ombre, Texture & État de surface, Ancrage & Élévation, Cinétisme & Vibration, Exagération & Contraste, Narration & Évocation, Innovation & Optimisation, Ergonomie & Usages"
Wembley Stadium,"Articulation & Connexion, Échelle & Proportion, Texture & État de surface, Lumière & Ombre, Mobilité & Déploiement, Ancrage & Élévation, Pérennité, Symbole & Archétype, Exagération & Contraste, Innovation & Optimisation, Conception collaborative, Ergonomie & Usages"
White Drama Collection,"Accumulation & Densité, Hiérarchie & Stratification, Inclusion & Mise en abyme, Texture & État de surface, Transparence & Opacité, Masse & Légèreté, Éphémère & Apparition, Mutation & Évolution, Narration & Évocation, Symbole & Archétype, Détournement & Appropriation, Artisanat & Savoir-faire"
White U House,"Articulation & Connexion, Inclusion & Mise en abyme, Minimalisme & Vide, Lumière & Ombre, Dématérialisation, Éphémère & Apparition, Ancrage & Élévation, Narration & Évocation, Exagération & Contraste, Symbole & Archétype, Ergonomie & Usages, Rationalisation & Simplification"
Widows of Culloden,"Hiérarchie & Stratification, Inclusion & Mise en abyme, Texture & État de surface, Transparence & Opacité, Masse & Légèreté, Éphémère & Apparition, Illusion & Simulation, Narration & Évocation, Symbole & Archétype, Détournement & Appropriation, Artisanat & Savoir-faire, Innovation & Optimisation"
Willis Faber & Dumas Headquarters,"Innovation & Optimisation, Transparence & Opacité, Fluidité & Rigidité, Ergonomie & Usages, Pérennité, Articulation & Connexion, Illusion & Simulation, Rationalisation & Simplification, Lumière & Ombre, Échelle & Proportion, Minimalisme & Vide, Hybridation & Fusion"
Wire Cone Chair,"Répétition, Articulation & Connexion, Dématérialisation, Transparence & Opacité, Masse & Légèreté, Minimalisme & Vide, Cinétisme & Vibration, Mobilité & Déploiement, Exagération & Contraste, Symbole & Archétype, Innovation & Optimisation, Rationalisation & Simplification"
Wire Lamp,"Répétition, Motif & Ornementation, Dématérialisation, Lumière & Ombre, Masse & Légèreté, Minimalisme & Vide, Transparence & Opacité, Cinétisme & Vibration, Ancrage & Élévation, Symbole & Archétype, Innovation & Optimisation, Rationalisation & Simplification"
Wisley Planting,"Accumulation & Densité , Hiérarchie & Stratification , Fluidité & Rigidité , Texture & État de surface , Cinétisme & Vibration , Éphémère & Apparition , Mutation & Évolution , Engagement & Sensibilisation , Narration & Évocation , Biomimétisme , Conception collaborative , Ergonomie & Usages"
École primaire de Gando,"Répétition, Texture & État de surface, Lumière & Ombre, Masse & Légèreté, Ancrage & Élévation, Pérennité, Engagement & Sensibilisation, Symbole & Archétype, Artisanat & Savoir-faire, Conception collaborative, Innovation & Optimisation, Rationalisation & Simplification"
Église de la Lumière,"Articulation & Connexion, Lumière & Ombre, Minimalisme & Vide, Masse & Légèreté, Texture & État de surface, Transparence & Opacité, Dématérialisation, Éphémère & Apparition, Ancrage & Élévation, Symbole & Archétype, Exagération & Contraste, Rationalisation & Simplification"
Égyptienne,"Hiérarchie & Stratification, Échelle & Proportion, Lumière & Ombre, Masse & Légèreté, Fluidité & Rigidité, Pérennité, Mutation & Évolution, Exagération & Contraste, Symbole & Archétype, Innovation & Optimisation, Ergonomie & Usages, Modularité & Standardisation"
Ōita Prefectural Library,"Articulation & Connexion, Déconstruction & Fragmentation, Masse & Légèreté, Texture & État de surface, Lumière & Ombre, Mutation & Évolution, Mobilité & Déploiement, Narration & Évocation, Symbole & Archétype, Innovation & Optimisation, Modularité & Standardisation, Réemploi"
“For now we see through a glass darkly”,"Inclusion & Mise en abyme, Hiérarchie & Stratification, Hybridation & Fusion, Dématérialisation, Transparence & Opacité, Texture & État de surface, Déformation & Distorsion, Mutation & Évolution, Pérennité, Narration & Évocation, Réemploi & Réhabilitation, Conception collaborative"
